PipeID,Age,Diameter,Depth,Slope,Length,PipeType,NetworkTyp,Connection,PipeForm,Material,Rainfall,Geology,GroundWate,SoilType,Building,LandCover,RoadClass,TrafficVol,Population,Score,Class
"4839","48","225",-2.15,0.61,54.53,Combined,Main,MUF,S,BET,153.11,Geology_1,24.60,Soiltype_5,No,LandUse_10,RoadClass_1,0.00,213.16,"35",Bad
"4850","48","150",-2.03,0.04,48.94,Combined,Main,MUF,S,BET,152.92,Geology_1,24.55,Soiltype_5,No,LandUse_10,RoadClass_1,0.00,12.30,"2222",Very bad
"4919","67","250",-1.13,0.95,80.24,Wastewater,Main,MUF,S,BET,151.72,Geology_3,33.44,Soiltype_6,Yes,LandUse_10,RoadClass_1,0.00,133.22,"13",Questionable
"4931","39","200",-1.91,-5.91,1.67,Combined,Main,Others,S,PVC,151.13,Geology_3,34.72,Soiltype_6,No,LandUse_10,RoadClass_5,0.00,141.42,"67",Very bad
"4956","46","160",-2.10,0.74,23.56,Stormwater,Main,MUF,S,PVC,146.99,Geology_3,14.87,Soiltype_14,No,LandUse_10,RoadClass_1,0.00,71.74,"176",Very bad
"5177","55","160",-3.55,2.96,18.02,Combined,Main,MUF,S,PVC,144.38,Geology_3,19.81,Soiltype_6,No,LandUse_10,RoadClass_4,0.00,209.06,"0",Very good
"5236","51","600",-1.60,-0.78,35.58,Stormwater,Main,MUF,S,BET,136.57,Geology_3,18.60,Soiltype_13,No,LandUse_10,RoadClass_2,0.00,79.93,"145",Very bad
"53252","43","1000",-2.27,2.53,21.93,Stormwater,Main,MUF,S,BET,148.93,Geology_3,10.89,Soiltype_13,Yes,LandUse_10,RoadClass_5,0.00,72.76,"57",Very bad
"53275","43","1000",-2.85,4.94,27.12,Stormwater,Main,MUF,S,BET,149.06,Geology_3,10.93,Soiltype_13,No,LandUse_10,RoadClass_5,0.00,72.76,"45",Bad
"53504","22","1000",-2.19,2.94,11.18,Stormwater,Main,MUF,S,BET,149.55,Geology_3,11.59,Soiltype_6,No,LandUse_10,RoadClass_2,0.00,72.76,"0",Very good
"53571","43","800",-1.96,2.15,18.46,Stormwater,Main,MUF,S,BET,149.39,Geology_4,11.34,Soiltype_7,No,LandUse_10,RoadClass_1,0.00,72.76,"0",Very good
"53898","34","200",-2.04,2.12,21.98,Wastewater,Main,Others,S,PVC,148.63,Geology_4,5.81,Soiltype_7,No,LandUse_10,RoadClass_4,0.00,122.98,"9",Good
"53983","23","250",-1.94,0.61,57.49,Stormwater,Main,MUF,S,BET,148.35,Geology_4,6.27,Soiltype_7,No,LandUse_10,RoadClass_1,0.00,83.01,"25",Bad
"53984","23","300",-2.00,1.47,5.92,Stormwater,Main,MUF,S,BET,148.41,Geology_4,6.51,Soiltype_7,No,LandUse_10,RoadClass_2,0.00,83.01,"113",Very bad
"54399","28","250",-1.64,2.36,48.81,Wastewater,Main,Others,S,PVC,149.58,Geology_3,12.45,Soiltype_10,No,LandUse_10,RoadClass_2,0.00,92.23,"0",Very good
"54433","52","600",-2.03,2.30,25.91,Stormwater,Main,MUF,S,BET,150.55,Geology_3,14.23,Soiltype_5,No,LandUse_10,RoadClass_4,0.00,207.01,"30",Bad
"54434","52","200",-2.00,1.10,7.51,Wastewater,Main,MUF,S,BET,150.52,Geology_3,14.14,Soiltype_5,No,LandUse_10,RoadClass_4,0.00,207.01,"0",Very good
"54435","52","200",-2.03,2.34,25.14,Wastewater,Main,MUF,S,BET,150.57,Geology_3,14.23,Soiltype_5,No,LandUse_10,RoadClass_4,0.00,207.01,"12",Questionable
"54436","52","600",-2.03,1.84,34.75,Stormwater,Main,MUF,S,BET,150.63,Geology_3,14.11,Soiltype_5,No,LandUse_10,RoadClass_4,0.00,207.01,"15",Questionable
"54437","52","200",-2.05,1.73,34.18,Wastewater,Main,MUF,S,BET,150.63,Geology_3,14.11,Soiltype_5,No,LandUse_10,RoadClass_4,0.00,207.01,"41",Bad
"54466","31","400",-1.64,-0.41,25.93,Combined,Main,Others,S,PVC,149.75,Geology_3,13.40,Soiltype_10,No,LandUse_10,RoadClass_4,0.00,92.23,"0",Very good
"55333","45","700",-1.71,1.34,58.62,Combined,Main,MUF,S,BET,151.47,Geology_3,21.59,Soiltype_3,No,LandUse_10,RoadClass_2,0.00,63.54,"70",Very bad
"55355","60","200",-1.94,0.14,12.67,Stormwater,Main,Others,S,PVC,151.57,Geology_3,21.23,Soiltype_3,No,LandUse_10,RoadClass_1,0.00,63.54,"0",Very good
"55407","47","300",-2.10,0.64,51.51,Wastewater,Main,MUF,S,BET,152.86,Geology_1,22.43,Soiltype_5,No,LandUse_10,RoadClass_1,0.00,137.32,"51",Very bad
"55424","47","200",-2.11,0.37,47.38,Wastewater,Main,MUF,S,BET,152.01,Geology_1,20.97,Soiltype_5,No,LandUse_10,RoadClass_1,0.00,69.69,"13",Questionable
"55432","47","200",-2.03,0.88,41.88,Stormwater,Main,MUF,S,BET,151.92,Geology_1,20.56,Soiltype_5,No,LandUse_10,RoadClass_4,0.00,69.69,"0",Very good
"55433","47","200",-2.08,0.70,42.68,Wastewater,Main,MUF,S,BET,151.92,Geology_1,20.56,Soiltype_5,No,LandUse_10,RoadClass_4,0.00,69.69,"2",Very good
"55434","47","200",-2.09,-0.59,46.35,Stormwater,Main,MUF,S,BET,151.91,Geology_1,20.18,Soiltype_5,No,LandUse_10,RoadClass_4,0.00,69.69,"17",Questionable
"55435","47","200",-2.11,-0.46,45.61,Wastewater,Main,MUF,S,BET,151.91,Geology_1,20.18,Soiltype_5,No,LandUse_10,RoadClass_4,0.00,69.69,"2",Very good
"55436","47","200",-1.90,0.73,63.96,Stormwater,Main,MUF,S,BET,151.87,Geology_1,19.64,Soiltype_5,Yes,LandUse_10,RoadClass_3,0.00,69.69,"3",Very good
"55437","47","200",-1.84,0.84,64.43,Wastewater,Main,MUF,S,BET,151.87,Geology_1,19.64,Soiltype_5,Yes,LandUse_10,RoadClass_3,0.00,69.69,"0",Very good
"55461","47","160",-1.66,0.72,74.20,Wastewater,Main,Others,S,PVC,152.61,Geology_1,21.35,Soiltype_5,No,LandUse_10,RoadClass_3,0.00,111.70,"19",Questionable
"55463","47","160",-2.29,1.30,88.86,Wastewater,Main,Others,S,PVC,152.74,Geology_1,21.44,Soiltype_6,No,LandUse_10,RoadClass_5,0.00,137.32,"68",Very bad
"55465","47","160",-2.00,1.40,40.67,Wastewater,Main,Others,S,PVC,152.84,Geology_1,21.49,Soiltype_6,No,LandUse_10,RoadClass_4,0.00,137.32,"115",Very bad
"55486","47","160",-3.05,2.43,46.76,Wastewater,Main,Others,S,PVC,152.87,Geology_1,21.04,Soiltype_6,No,LandUse_10,RoadClass_2,0.00,79.93,"0",Very good
"55488","47","160",-1.70,-0.13,48.42,Wastewater,Main,Others,S,PVC,152.88,Geology_1,21.33,Soiltype_6,No,LandUse_10,RoadClass_2,0.00,79.93,"4",Very good
"55538","60","225",-2.28,1.33,45.75,Combined,Main,MUF,S,BET,150.99,Geology_3,18.74,Soiltype_5,No,LandUse_10,RoadClass_1,0.00,63.54,"89",Very bad
"56022","48","225",-1.88,-0.20,43.00,Wastewater,Main,MUF,S,BET,149.94,Geology_1,24.65,Soiltype_5,No,LandUse_10,RoadClass_1,0.00,263.37,"18",Questionable
"56024","48","225",-1.95,-0.14,40.68,Wastewater,Main,MUF,S,BET,149.74,Geology_1,24.52,Soiltype_5,No,LandUse_10,RoadClass_1,0.00,95.31,"69",Very bad
"56025","48","150",-2.18,3.71,24.08,Wastewater,Main,MUF,S,BET,149.64,Geology_1,24.48,Soiltype_5,No,LandUse_10,RoadClass_4,0.00,95.31,"34",Bad
"56026","48","150",-2.11,0.21,44.25,Wastewater,Main,MUF,S,BET,149.55,Geology_1,24.65,Soiltype_5,No,LandUse_10,RoadClass_3,0.00,95.31,"118",Very bad
"56027","48","150",-2.01,0.26,61.31,Wastewater,Main,MUF,S,BET,149.34,Geology_1,24.58,Soiltype_5,Yes,LandUse_10,RoadClass_4,0.00,51.24,"134",Very bad
"56621","42","225",-2.46,7.14,52.76,Wastewater,Main,MUF,S,BET,152.48,Geology_3,24.51,Soiltype_5,No,LandUse_10,RoadClass_2,0.00,184.46,"0",Very good
"56636","30","200",-1.67,5.29,93.23,Stormwater,Main,MUF,S,BET,151.49,Geology_3,23.47,Soiltype_5,No,LandUse_10,RoadClass_2,0.00,236.73,"34",Bad
"56646","30","200",-1.91,2.21,58.12,Stormwater,Main,MUF,S,BET,151.50,Geology_3,24.15,Soiltype_6,No,LandUse_10,RoadClass_1,0.00,236.73,"10",Good
"56648","30","200",-1.05,2.82,56.87,Stormwater,Main,MUF,S,BET,151.53,Geology_3,24.66,Soiltype_6,No,LandUse_10,RoadClass_4,0.00,236.73,"4",Very good
"56658","64","250",-1.91,1.85,40.65,Combined,Main,MUF,S,BET,152.01,Geology_3,24.33,Soiltype_5,No,LandUse_10,RoadClass_1,0.00,184.46,"25",Bad
"56660","64","250",-1.76,-0.21,46.83,Wastewater,Main,MUF,S,BET,151.87,Geology_3,24.02,Soiltype_5,No,LandUse_10,RoadClass_1,0.00,236.73,"164",Very bad
"56663","42","225",-3.08,4.04,65.23,Wastewater,Main,MUF,S,BET,152.47,Geology_3,24.98,Soiltype_6,No,LandUse_10,RoadClass_3,0.00,184.46,"0",Very good
"56667","42","200",-2.05,0.46,40.40,Wastewater,Main,MUF,S,BET,152.46,Geology_3,25.40,Soiltype_6,No,LandUse_10,RoadClass_3,0.00,184.46,"0",Very good
"56671","7","225",-2.41,0.79,50.06,Combined,Main,MUF,S,Others,152.47,Geology_3,25.40,Soiltype_6,No,LandUse_10,RoadClass_2,0.00,184.46,"567",Very bad
"56673","7","300",-3.47,5.58,116.85,Combined,Main,MUF,S,Others,152.48,Geology_3,24.76,Soiltype_6,No,LandUse_10,RoadClass_2,0.00,184.46,"101",Very bad
"56674","42","200",-1.84,0.76,40.75,Wastewater,Main,MUF,S,BET,152.45,Geology_1,25.75,Soiltype_6,No,LandUse_10,RoadClass_3,0.00,184.46,"0",Very good
"56680","42","300",-1.91,-0.57,40.20,Stormwater,Main,MUF,S,BET,152.40,Geology_1,25.87,Soiltype_6,No,LandUse_10,RoadClass_1,0.00,184.46,"7",Good
"56684","42","160",-1.89,0.55,43.18,Wastewater,Main,Others,S,PVC,152.40,Geology_1,25.87,Soiltype_6,No,LandUse_10,RoadClass_1,0.00,184.46,"10",Good
"56685","42","160",-1.55,2.57,41.06,Wastewater,Main,Others,S,PVC,152.45,Geology_1,26.08,Soiltype_6,No,LandUse_10,RoadClass_2,0.00,184.46,"20",Questionable
"56689","12","150",-2.14,0.30,41.03,Wastewater,Main,MUF,S,BET,152.40,Geology_1,26.32,Soiltype_6,No,LandUse_10,RoadClass_4,0.00,212.13,"0",Very good
"56691","42","160",-1.66,3.14,33.12,Wastewater,Main,Others,S,PVC,152.36,Geology_1,26.45,Soiltype_6,No,LandUse_10,RoadClass_3,0.00,212.13,"9",Good
"56692","42","125",-1.97,1.01,23.79,Wastewater,Main,MUF,S,PVC,152.33,Geology_1,26.52,Soiltype_6,No,LandUse_10,RoadClass_1,0.00,212.13,"10",Good
"56693","42","160",-2.02,1.76,44.45,Wastewater,Main,Others,S,PVC,152.31,Geology_1,25.93,Soiltype_6,No,LandUse_10,RoadClass_1,0.00,184.46,"12",Questionable
"56696","42","300",-2.00,-1.74,45.15,Stormwater,Main,MUF,S,BET,152.31,Geology_1,25.87,Soiltype_6,No,LandUse_10,RoadClass_1,0.00,184.46,"32",Bad
"56700","42","160",-2.02,0.28,70.65,Wastewater,Main,Others,S,PVC,152.17,Geology_1,25.87,Soiltype_6,No,LandUse_10,RoadClass_1,0.00,184.46,"4",Very good
"56701","42","300",-2.02,0.29,70.38,Stormwater,Main,MUF,S,BET,152.18,Geology_1,25.87,Soiltype_6,No,LandUse_10,RoadClass_1,0.00,184.46,"333",Very bad
"56703","42","150",-1.77,0.25,55.15,Stormwater,Main,MUF,S,BET,152.01,Geology_3,25.77,Soiltype_6,No,LandUse_10,RoadClass_1,0.00,212.13,"2",Very good
"56705","42","200",-1.97,0.29,30.16,Stormwater,Main,MUF,S,BET,152.12,Geology_1,26.28,Soiltype_6,No,LandUse_10,RoadClass_1,0.00,212.13,"1373",Very bad
"56706","42","200",-2.22,4.23,46.41,Stormwater,Main,MUF,S,BET,152.09,Geology_1,26.04,Soiltype_6,No,LandUse_10,RoadClass_1,0.00,212.13,"86",Very bad
"56708","42","160",-2.00,0.28,30.17,Wastewater,Main,Others,S,PVC,152.12,Geology_1,26.28,Soiltype_6,No,LandUse_10,RoadClass_1,0.00,212.13,"20",Questionable
"56709","42","160",-1.90,-0.38,23.74,Wastewater,Main,Others,S,PVC,152.18,Geology_1,26.34,Soiltype_6,No,LandUse_10,RoadClass_1,0.00,212.13,"9",Good
"56711","42","200",-1.88,-0.42,25.30,Stormwater,Main,MUF,S,BET,152.18,Geology_1,26.34,Soiltype_6,No,LandUse_10,RoadClass_1,0.00,212.13,"180",Very bad
"56744","60","225",-2.36,6.51,36.10,Combined,Main,MUF,S,BET,152.71,Geology_1,24.99,Soiltype_6,No,LandUse_10,RoadClass_4,0.00,171.14,"231",Very bad
"56748","48","160",-1.92,0.52,26.70,Combined,Main,MUF,S,PVC,152.88,Geology_1,24.59,Soiltype_5,No,LandUse_10,RoadClass_1,0.00,171.14,"0",Very good
